,Position,Track Name,Artist,Streams,URL,date
97,98,Some Say - Felix Jaehn Remix,Nea,6783412,https://open.spotify.com/track/7C1trmcQQ5n5RNy4l6ziCv,2020-07-05
98,99,CÓMO SE SIENTE - Remix,Jhay Cortez,6693134,https://open.spotify.com/track/2tFwfmceQa1Y6nRPhYbEtC,2020-07-05
99,100,Enjoy Yourself (feat. Karol G),Pop Smoke,6620040,https://open.spotify.com/track/3NWrHCwvyII4fTx05PN3IO,2020-07-05
100,101,What You Know Bout Love,Pop Smoke,6567235,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y,2020-07-05
101,102,Physical,Dua Lipa,6566306,https://open.spotify.com/track/3AzjcOeAmA57TIOr9zF1ZW,2020-07-05
102,103,hot girl bummer,blackbear,6492600,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku,2020-07-05
103,104,Believer,Imagine Dragons,6492153,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP,2020-07-05
104,105,PORFA,Feid,6383822,https://open.spotify.com/track/4TOmcZvw0gHa7GiXRbcYAW,2020-07-05
105,106,The Bigger Picture,Lil Baby,6377340,https://open.spotify.com/track/44gRhRi2OhEf7moAUj6MD1,2020-07-05
106,107,Walk Em Down (feat. Roddy Ricch),NLE Choppa,6374916,https://open.spotify.com/track/4cSSL3YafYjM3yjgFO1vJg,2020-07-05
107,108,Are You Bored Yet? (feat. Clairo),Wallows,6369673,https://open.spotify.com/track/57RA3JGafJm5zRtKJiKPIm,2020-07-05
108,109,Tattoo,Rauw Alejandro,6360792,https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d,2020-07-05
109,110,Lose Control,MEDUZA,6355619,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK,2020-07-05
110,111,Reggaetonera,Anuel AA,6270956,https://open.spotify.com/track/6yVkakCN460KOVol9ZazjH,2020-07-05
111,112,Desce Pro Play (PA PA PA),Mc Zaac,6241031,https://open.spotify.com/track/4zGtfOglDBfVUypabBwIjQ,2020-07-05
112,113,TROLLZ (with Nicki Minaj),6ix9ine,6219464,https://open.spotify.com/track/3dVvWnj4D8JGkKvo6Hucso,2020-07-05
113,114,Bad Bitch From Tokyo (Intro),Pop Smoke,6144736,https://open.spotify.com/track/4OGIeHtYhRTJ8iW21UUyZW,2020-07-05
114,115,Robbery,Juice WRLD,6138643,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ,2020-07-05
115,116,RITMO (Bad Boys For Life),Black Eyed Peas,6136138,https://open.spotify.com/track/4NCsrTzgVfsDo8nWyP8PPc,2020-07-05
116,117,Snitching (feat. Quavo & Future),Pop Smoke,6102253,https://open.spotify.com/track/2FhEj9lvEIaJihjFprRrGt,2020-07-05
117,118,Jocelyn Flores,XXXTENTACION,6034591,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96,2020-07-05
118,119,Righteous,Juice WRLD,6003350,https://open.spotify.com/track/0OyQns5ayNK2OVaES0Vb8t,2020-07-05
119,120,rockstar (feat. 21 Savage),Post Malone,5983612,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,2020-07-05
120,121,West Coast Shit (feat. Tyga & Quavo),Pop Smoke,5931242,https://open.spotify.com/track/1JDhNQ0oOT7XpclZn3aQ8F,2020-07-05
121,122,Amarillo,J Balvin,5915455,https://open.spotify.com/track/6zEgnpM0qYmHLDnh8WPejL,2020-07-05
122,123,Beautiful People (feat. Khalid),Ed Sheeran,5853421,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv,2020-07-05
123,124,7 rings,Ariana Grande,5842642,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,2020-07-05
124,125,Shape of You,Ed Sheeran,5816643,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2020-07-05
125,126,SAD!,XXXTENTACION,5788424,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,2020-07-05
126,127,Skechers,DripReport,5732411,https://open.spotify.com/track/2alc8VZAzDgdAsL2QMk3hu,2020-07-05
127,128,Bohemian Rhapsody - 2011 Mix,Queen,5644120,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv,2020-07-05
128,129,Past Life (with Selena Gomez),Trevor Daniel,5564870,https://open.spotify.com/track/4P6IttK2PRBjyr3fm0pP7t,2020-07-05
129,130,La Difícil,Bad Bunny,5526756,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt,2020-07-05
130,131,Happier,Marshmello,5506737,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2020-07-05
131,132,PAM,Justin Quiles,5503121,https://open.spotify.com/track/0eeKDrQxjqNl5bX5VCHDcn,2020-07-05
132,133,Savage,Megan Thee Stallion,5500167,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si,2020-07-05
133,134,El Efecto,Rauw Alejandro,5495415,https://open.spotify.com/track/4SJHHpKhcuXwDsCsPqshXj,2020-07-05
134,135,when the party's over,Billie Eilish,5494673,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I,2020-07-05
135,136,This City,Sam Fischer,5485694,https://open.spotify.com/track/3H3r2nKWa3Yk5gt8xgmsEt,2020-07-05
136,137,Falling,Harry Styles,5472032,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp,2020-07-05
137,138,Life's A Mess (feat. Halsey),Juice WRLD,5458976,https://open.spotify.com/track/1yHdZ9S6rBlNPH3LDNMy2P,2020-07-05
138,139,YAYA,6ix9ine,5428926,https://open.spotify.com/track/6EfBMJQwe2xLgldra6DaYp,2020-07-05
139,140,Perfect,Ed Sheeran,5398756,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,2020-07-05
140,141,Mariposa,Peach Tree Rascals,5385583,https://open.spotify.com/track/4ja2gzrNh9VNigzoXfmbwD,2020-07-05
141,142,Say You Won't Let Go,James Arthur,5366568,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2020-07-05
142,143,Morado,J Balvin,5352148,https://open.spotify.com/track/35KmOEIUqAGn02t7n4qaIr,2020-07-05
143,144,Flex (feat. Juice WRLD),Polo G,5344898,https://open.spotify.com/track/2QqJTIlGKRLJC3onkavYEz,2020-07-05
144,145,China,Anuel AA,5320394,https://open.spotify.com/track/0KkIkfsLEJbrcIhYsCL7L5,2020-07-05
145,146,Ballin' (with Roddy Ricch),Mustard,5319164,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY,2020-07-05
146,147,Deep End Freestyle,Sleepy Hallow,5280810,https://open.spotify.com/track/2AlYncTpVHKwHb55F9lF6O,2020-07-05
147,148,OUT WEST (feat. Young Thug),JACKBOYS,5211542,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw,2020-07-05
